Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^χʷ	χʷ	3	U+005E U+03C7 U+02B7	"χʷetːas,χʷetːi,χʷimc'"	Archi
^χː	χː	17	U+005E U+03C7 U+02D0	"χːalaj,χːank'bos,χːat"	Archi
^χˤ	χˤ	13	U+005E U+03C7 U+02E4	"χˤabχˤilin_kʷar,χˤekul,χˤetːut"	Archi
aːˤ	aˤː	3	U+0061 U+02D0 U+02E4	"č'aːˤratːut,č'aːˤri,čʼaːˤri"	Archi
c'$	cʼ	2	U+0063 U+0027 U+0024	"ʁalbac',χʷimc'"	Archi
cʼ$	tsʼ	7	U+0063 U+02BC U+0024	"darcʼ,ocʼ,wicʼ"	Archi
cː'	ts’ː	3	U+0063 U+02D0 U+0027	"acː'ilinnu,darcː'an,mecː'e"	
cːʼ	ts’ː	3	U+0063 U+02D0 U+02BC	"acːʼi,bucːʼičʼabu"	Archi
c’$	cʼ	3	U+0063 U+2019 U+0024	"nac’"	Archi
eˤ$	eˤ	1	U+0065 U+02E4 U+0024	"tʼeˤ"	Archi
k'$	kʼ	1	U+006B U+0027 U+0024	"χːurk'"	Archi
k'ʷ	kʼʷ	2	U+006B U+0027 U+02B7	"ik'ʷ_ostitːut,šːik'ʷ"	Archi
kʷ$	kʷ	2	U+006B U+02B7 U+0024	"bakʷ,makʷ"	Archi
kʼ$	kʼ	4	U+006B U+02BC U+0024	"baˤkʼ,dilikʼ,kʼokʼ"	Archi
k’ʷ	kʼʷ	2	U+006B U+2019 U+02B7	"ik’ʷ_ostitːut,jaš_ark’ʷmus"	Archi
ms$	m s	1	U+006D U+0073 U+0024	"χːams"	Archi
ns$	n s	1	U+006E U+0073 U+0024	"ans"	Archi
oːˤ	oˤː	2	U+006F U+02D0 U+02E4	"doːˤzu_ušdu,doːˤzur_došdur"	Archi
oˤ$	oˤ	1	U+006F U+02E4 U+0024	"zoˤk'noˤ"	Archi
q'$	qʼ	2	U+0071 U+0027 U+0024	"k'alaroq',ħaq'"	Archi
q'ʷ	qʼʷ	2	U+0071 U+0027 U+02B7	"dogilin_q'ʷíkːi,eq'ʷmus"	Archi
q'ˤ	q’ˤ	10	U+0071 U+0027 U+02E4	"aq'ˤul_bitːu,herq'ˤbos,laq'ˤa_čaq"	Archi
qʷˤ	qʷˤ	1	U+0071 U+02B7 U+02E4	"oˤroˤs_qʷˤib"	Archi
qʼ$	qʼ	8	U+0071 U+02BC U+0024	"ebqʼ,huqʼ,tusnaqʼ"	Archi
qʼˤ	q’ˤ	2	U+0071 U+02BC U+02E4	"aqʼˤul,deqʼˤlin_iq"	Archi
qː'	q’ː	3	U+0071 U+02D0 U+0027	"gʷaqː'as,hanqː'a_č'uˤmmus,hoti_gʷarqː'i"	
qːʼ	q’ː	1	U+0071 U+02D0 U+02BC	"muqːʼa"	Archi
qˤ$	qˤ	4	U+0071 U+02E4 U+0024	"q'ˤotːaqˤ,sotːaqˤ,ɬːánnaqˤ"	Archi
q’ʷ	qʼʷ	1	U+0071 U+2019 U+02B7	"laq’ʷas"	Archi
q’ˤ	q’ˤ	4	U+0071 U+2019 U+02E4	"deq’ˤlit_χos,jaq’ˤan_as,oq’ˤmul"	Archi
rsː	r sː	1	U+0072 U+0073 U+02D0	"barsːon"	Archi
ss$	sː	1	U+0073 U+0073 U+0024	"qʼarzlis_šːubuss"	Archi
tʼ$	tʼ	5	U+0074 U+02BC U+0024	"kʷatʼ,kʷetʼ,šːʷaˤltʼ"	Archi
uː$	uː	1	U+0075 U+02D0 U+0024	"q'ˤásetːituː"	Archi
č'$	tʃʼ	1	U+010D U+0027 U+0024	"χilikɬ'_mač'"	Archi
čʼ$	tʃʼ	4	U+010D U+02BC U+0024	"dičʼ,lilmučʼ,ɬːan_čaχːˤartːut_mačʼ"	Archi
ɬʷ$	ɬʷ	2	U+026C U+02B7 U+0024	"bikɬʷ,diɬʷ"	Archi
ɬʼ$	ɬʼ	11	U+026C U+02BC U+0024	"dakɬʼ,naˤkɬʼ,okɬʼ"	Archi
ʁʷˤ	ʁʷˤ	1	U+0281 U+02B7 U+02E4	"iʁʷˤdut"	Archi
χːˤ	χˤː	6	U+03C7 U+02D0 U+02E4	"beχːˤe_kes,beχːˤetːut,ɬːan_čaχːˤartːut_mačʼ"	Archi
χˤ$	χˤ	3	U+03C7 U+02E4 U+0024	"aχˤ,eχˤ,libχˤ"	Archi
^aːˤ	aˤː	1	U+005E U+0061 U+02D0 U+02E4	"aːˤšas"	Archi
^k'ʷ	kʼʷ	3	U+005E U+006B U+0027 U+02B7	"k'ʷas,k'ʷet'_χʷarši,k'ʷet'_χʷaršilin_χal"	Archi
^kʷ’	kʼʷ	1	U+005E U+006B U+02B7 U+2019	"kʷ’atːu"	Archi
^q'ʷ	qʼʷ	3	U+005E U+0071 U+0027 U+02B7	"q'ʷahərtːum,q'ʷat,q'ʷerq'əbos"	Archi
^q'ˤ	q’ˤ	10	U+005E U+0071 U+0027 U+02E4	"q'ˤas,q'ˤot'ol,q'ˤotːaqˤ"	Archi
^qʷˤ	qʷˤ	1	U+005E U+0071 U+02B7 U+02E4	"qʷˤen"	Archi
^qʼʷ	qʼʷ	2	U+005E U+0071 U+02BC U+02B7	"qʼʷil"	Archi
^qʼˤ	q’ˤ	2	U+005E U+0071 U+02BC U+02E4	"qʼˤahba,qʼˤutʼ"	Archi
^q’ʷ	qʼʷ	2	U+005E U+0071 U+2019 U+02B7	"q’ʷatːut,q’ʷerq’əbos"	Archi
^šːʷ	ʃʷː	2	U+005E U+0161 U+02D0 U+02B7	"šːʷaˤltʼ,šːʷit’bos"	Archi
^ɬːʷ	ɬʷː	7	U+005E U+026C U+02D0 U+02B7	"ɬːʷak,ɬːʷak_kes,ɬːʷaːnatːut"	Archi
^ʁʷˤ	ʁʷˤ	1	U+005E U+0281 U+02B7 U+02E4	"ʁʷˤalqˤi"	Archi
