pk,jsondata,name,description,markup_description,id,type,lang,version
456,,occi1239,,,occi1239,glottolog,en,1
457,,san,,,iso639-3-san,iso639-3,en,1
458,,sans1269,,,sans1269,glottolog,en,1
459,,non,,,wals-non,wals,en,1
460,,nhu,,,iso639-3-nhu,iso639-3,en,1
461,,noon1243,,,noon1243,glottolog,en,1
462,,pro,,,iso639-3-pro,iso639-3,en,1
463,,oldp1253,,,oldp1253,glottolog,en,1
464,,oss,,,wals-oss,wals,en,1
465,,oss,,,iso639-3-oss,iso639-3,en,1
466,,osse1243,,,osse1243,glottolog,en,1
467,,tpi,,,wals-tpi,wals,en,1
468,,tpi,,,iso639-3-tpi,iso639-3,en,1
469,,tokp1240,,,tokp1240,glottolog,en,1
470,,prs,,,wals-prs,wals,en,1
471,,pes,,,iso639-3-pes,iso639-3,en,1
472,,west2369,,,west2369,glottolog,en,1
473,,pga,,,wals-pga,wals,en,1
474,,plg,,,iso639-3-plg,iso639-3,en,1
475,,pila1245,,,pila1245,glottolog,en,1
476,,pol,,,wals-pol,wals,en,1
477,,pol,,,iso639-3-pol,iso639-3,en,1
478,,poli1260,,,poli1260,glottolog,en,1
479,,por,,,wals-por,wals,en,1
480,,por,,,iso639-3-por,iso639-3,en,1
481,,port1283,,,port1283,glottolog,en,1
482,,qch,,,wals-qch,wals,en,1
483,,quc,,,iso639-3-quc,iso639-3,en,1
484,,kich1262,,,kich1262,glottolog,en,1
485,,rai,,,iso639-3-rai,iso639-3,en,1
486,,ramo1244,,,ramo1244,glottolog,en,1
487,,rar,,,iso639-3-rar,iso639-3,en,1
488,,raro1241,,,raro1241,glottolog,en,1
489,,rus,,,wals-rus,wals,en,1
490,,rus,,,iso639-3-rus,iso639-3,en,1
491,,russ1263,,,russ1263,glottolog,en,1
492,,shm,,,wals-shm,wals,en,1
493,,ksb,,,iso639-3-ksb,iso639-3,en,1
494,,sham1280,,,sham1280,glottolog,en,1
495,,sdw,,,wals-sdw,wals,en,1
496,,sad,,,iso639-3-sad,iso639-3,en,1
497,,sand1273,,,sand1273,glottolog,en,1
498,,skp,,,wals-skp,wals,en,1
499,,sel,,,iso639-3-sel,iso639-3,en,1
500,,selk1253,,,selk1253,glottolog,en,1
501,,sen,,,wals-sen,wals,en,1
502,,seh,,,iso639-3-seh,iso639-3,en,1
503,,nucl1396,,,nucl1396,glottolog,en,1
504,,srp,,,iso639-3-srp,iso639-3,en,1
505,,serb1264,,,serb1264,glottolog,en,1
506,,svk,,,wals-svk,wals,en,1
507,,slk,,,iso639-3-slk,iso639-3,en,1
508,,slov1269,,,slov1269,glottolog,en,1
509,,mcd,,,wals-mcd,wals,en,1
510,,mkd,,,iso639-3-mkd,iso639-3,en,1
511,,mace1250,,,mace1250,glottolog,en,1
512,,slo,,,wals-slo,wals,en,1
513,,slv,,,iso639-3-slv,iso639-3,en,1
514,,slov1268,,,slov1268,glottolog,en,1
515,,wrd,,,wals-wrd,wals,en,1
516,,wrr,,,iso639-3-wrr,iso639-3,en,1
517,,ward1246,,,ward1246,glottolog,en,1
518,,sra,,,wals-sra,wals,en,1
519,,srn,,,iso639-3-srn,iso639-3,en,1
520,,sran1240,,,sran1240,glottolog,en,1
521,,sun,,,wals-sun,wals,en,1
522,,sun,,,iso639-3-sun,iso639-3,en,1
523,,sund1252,,,sund1252,glottolog,en,1
524,,tah,,,wals-tah,wals,en,1
525,,tah,,,iso639-3-tah,iso639-3,en,1
526,,tahi1242,,,tahi1242,glottolog,en,1
527,,tnq,,,iso639-3-tnq,iso639-3,en,1
528,,tain1254,,,tain1254,glottolog,en,1
529,,tml,,,wals-tml,wals,en,1
530,,tam,,,iso639-3-tam,iso639-3,en,1
531,,tami1289,,,tami1289,glottolog,en,1
532,,tvo,,,wals-tvo,wals,en,1
533,,tat,,,iso639-3-tat,iso639-3,en,1
534,,tata1255,,,tata1255,glottolog,en,1
535,,dhr,,,wals-dhr,wals,en,1
536,,dhr,,,iso639-3-dhr,iso639-3,en,1
537,,dhar1247,,,dhar1247,glottolog,en,1
538,,bto,,,wals-bto,wals,en,1
539,,bbc,,,iso639-3-bbc,iso639-3,en,1
540,,bata1289,,,bata1289,glottolog,en,1
541,,toj,,,wals-toj,wals,en,1
542,,toj,,,iso639-3-toj,iso639-3,en,1
543,,tojo1241,,,tojo1241,glottolog,en,1
544,,tla,,,wals-tla,wals,en,1
545,,ksd,,,iso639-3-ksd,iso639-3,en,1
546,,kuan1248,,,kuan1248,glottolog,en,1
547,,tbu,,,wals-tbu,wals,en,1
548,,dzg,,,iso639-3-dzg,iso639-3,en,1
549,,daza1242,,,daza1242,glottolog,en,1
550,,tuq,,,iso639-3-tuq,iso639-3,en,1
551,,teda1241,,,teda1241,glottolog,en,1
